,Time,CHEM_SNR_LW1,CHEM_SNR_LW2,CHEM_SNR_LW3,CHEM_SNR_LW4,LAT,LON,ALT,LW1,LW2,LW3,LW4
170,55901,26.173729,0.097839,-0.354269,-2.545368,35.7275264,-78.696168,25.04,28.263176,-15.888449,-16.825148,-66.379814
171,55902,27.85611,-0.440245,0.986488,-0.609797,35.7275258,-78.6961659,25.049,26.510395,-11.885567,-16.728191,-57.542091
172,55903,27.85611,-0.440245,0.986488,-0.609797,35.727525,-78.6961635,25.022,24.60413,-23.677078,-11.240377,-52.576019
173,55904,28.087769,0.537516,-0.097225,-1.866869,35.7275333,-78.6961679,25.05,17.751892,-18.292271,-11.55916,-52.402439
174,55905,26.480492,0.223934,-1.596306,0.060032,35.7275627,-78.6961879,25.121,19.175186,-23.49464,-16.42852,-50.940109
175,55906,27.095482,0.679667,-0.995483,0.104727,35.727612,-78.6962231,25.138,23.229534,-39.516426,-15.448286,-52.278759
176,55907,25.372242,1.801323,0.336439,-2.163244,35.7276803,-78.6962726,25.302,20.528927,-16.851753,-20.226166,-56.156319
177,55908,24.151413,1.221703,0.286087,-1.467991,35.7277582,-78.6963291,25.303,19.635498,-31.329067,-27.066042,-51.909874
178,55909,24.158745,-0.043194,-0.884361,-1.992247,35.7278369,-78.6963858,25.216,12.644577,-17.883396,-12.578951,-54.313019
179,55910,20.322342,0.452438,0.253273,0.53241,35.7279156,-78.6964415,25.085,10.039669,-24.413485,-18.155247,-52.336525
180,55911,18.790707,0.695591,-31.487917,-1.235209,35.7279927,-78.6964975,25.051,12.661575,-16.552097,-12.805237,-55.405571
181,55912,18.205059,-0.190775,-0.049824,-2.314787,35.7280694,-78.6965538,25.055,10.443459,-17.349125,-13.289406,-59.229729
182,55913,16.698925,0.942253,-1.026638,-2.249817,35.728147,-78.6966102,25.049,12.000175,-18.011129,-18.832294,-52.251251
183,55914,14.818619,0.864393,-1.02113,-1.48295,35.7282253,-78.6966673,25.083,9.129883,-18.169651,-21.842289,-51.791901
184,55915,15.148148,0.779663,-0.270285,1.118181,35.7283028,-78.6967237,24.992,7.526093,-26.537415,-17.241283,-51.330254
185,55916,12.279121,3.162392,-1.357067,-0.718475,35.7283806,-78.6967801,25.05,6.372253,-14.547729,-16.895859,-52.607182
186,55917,12.889946,1.305275,-1.503307,0.163965,35.7284592,-78.6968367,25.075,8.62133,-19.079643,-24.659946,-53.822929
187,55918,10.743317,0.677763,-0.872648,-0.192823,35.7285378,-78.6968923,24.992,7.389942,-13.318346,-18.229916,-53.944542
188,55919,11.670219,2.856598,-1.837242,0.375978,35.7286166,-78.6969469,24.999,7.684078,-18.879673,-18.316357,-51.701881
189,55920,12.108902,1.876062,-1.468952,0.864054,35.7286947,-78.6970015,25.029,4.967358,-23.337414,-14.575962,-54.886635
190,55921,10.151337,1.846901,-4.491613,0.439968,35.7287723,-78.697057,25.057,5.914494,-22.721331,-18.031616,-54.718994
191,55922,9.271839,1.989599,-1.375158,2.287243,35.7288495,-78.6971117,24.954,2.152145,-27.427958,-16.04937,-52.519096
192,55923,9.824963,1.65904,-1.77944,1.11006,35.728926,-78.6971664,24.975,7.020702,-16.862579,-20.573425,-53.066475
193,55924,8.079201,1.379906,-4.187284,1.600185,35.7290027,-78.6972224,25.06,6.610706,-17.214396,-15.108016,-53.60326
194,55925,8.592182,3.521561,-3.638514,1.28854,35.7290806,-78.6972791,25.089,4.439804,-11.8993,-12.711987,-55.593079
195,55926,7.10067,1.842508,-2.756624,1.033848,35.7291592,-78.6973357,25.099,4.816185,-14.081076,-12.509336,-63.645081
196,55927,8.772972,2.904507,-2.274567,1.175386,35.7292381,-78.6973919,25.032,2.004375,-10.900337,-12.911762,-53.372021
197,55928,6.915234,3.687672,-1.867771,1.208866,35.729316,-78.697448,24.974,6.177933,-20.337772,-12.497433,-53.464588
198,55929,8.025116,2.927147,-2.688971,2.539742,35.7293933,-78.6975033,25.018,0.075603,-9.630323,-13.698309,-52.081764
199,55930,7.267178,2.101585,-1.769398,1.01296,35.7294709,-78.6975589,25.15,-3.495525,-8.275751,-19.741285,-52.614746
200,55931,5.781841,0.799717,-5.217102,1.17094,35.7295475,-78.6976141,25.179,4.133511,-11.679623,-24.959879,-53.685341
201,55932,7.106968,2.992531,-2.442247,1.79327,35.7296242,-78.6976688,25.045,-1.434095,-11.591558,-18.777174,-52.012985
202,55933,5.146534,4.161919,-2.363276,2.037552,35.7297014,-78.6977231,25.08,-2.973307,-10.245075,-17.094856,-52.813118
203,55934,4.509007,2.221985,-4.267082,3.924099,35.7297796,-78.6977783,25.075,3.007111,-5.219896,-23.254074,-54.463444
204,55935,5.364746,1.65517,-4.34701,3.035477,35.7298587,-78.697835,25.082,2.333389,-21.994724,-23.131525,-66.640289
205,55936,3.905312,1.934616,-1.949974,3.047451,35.7299369,-78.6978916,25.055,-11.863987,-5.24135,-21.339966,-61.445938
206,55937,4.056351,3.557945,-2.313072,3.467342,35.7300135,-78.6979473,25.134,1.554714,-1.009388,-21.352268,-51.462818
207,55938,3.961975,3.858429,-3.38442,4.52216,35.7300821,-78.6979977,25.207,1.231121,-11.344889,-24.966246,-42.800316
208,55939,4.342251,2.887115,-3.735245,4.709419,35.7301404,-78.6980394,25.002,2.000053,-13.822281,-20.490646,-20.028881
209,55940,1.629515,3.465939,-3.487726,4.06617,35.7301872,-78.698072,24.965,3.098534,-14.681723,-17.787661,-21.462536
210,55941,3.98502,2.895664,-5.104488,4.722443,35.7302234,-78.6980965,24.883,-8.791145,-9.331963,-18.096977,-25.760798
